educations-end_date,educations-field_of_study,educations-school-name,positions-is-current,num-connections,industry-specialization
31/12/2013,16,NEW NORTHERN MINDANAO COLLEGES,0,0,5
31/12/2012,16,CENTRAL PHILIPPINE UNIVERSITY,1,3,6
31/12/2006,0,INTERNATIONAL CORRESPONDENCE SCHOOLS,0,11,16
31/12/1987,6,UNIVERSITY OF THE PHILIPPINES,0,36,4
31/12/1994,0,POLYTECHNIC UNIVERSITY OF THE PHILIPPINES,1,0,0
31/12/2002,16,UNIVERSITY OF THE PHILIPPINES,0,5,5
31/12/2008,16,DE LA SALLE UNIVERSITY,1,6,5
31/12/2009,4,UNIVERSITY OF THE PHILIPPINES,0,0,4
31/12/2006,4,DAVAO DEL NORTE STATE COLLEGE,0,8,4
31/12/2007,2,INFORMATICS COMPUTER INSTITUTE,0,6,4
31/12/1994,16,"ST. PAUL'S COLLEGE, QUEZON CITY",1,1,1
31/12/2001,2,UNIVERSITY OF THE EAST,0,31,13
31/12/1978,16,UNIVERSITY OF SAN JOSE - RECOLETOS,1,1,4
31/12/2007,12,UNIVERSITY OF THE PHILIPPINES,1,1,16
31/12/2003,1,THE NATIONAL TEACHERS COLLEGE,0,0,5
31/12/2012,10,LYCEUM OF THE PHILIPPINES UNIVERSITY - BATANGAS,1,2,10
31/12/2003,16,ATENEO DE NAGA UNIVERSITY,0,1,7
31/12/2003,6,AMA UNIVERSITY,0,28,4
31/12/1991,0,ATENEO DE DAVAO UNIVERSITY,1,31,16
31/12/2002,10,SAINT LOUIS UNIVERSITY (PH),0,217,16
31/12/2011,16,UNIVERSITY OF THE PHILIPPINES,0,27,0
31/12/2004,16,PAMANTASAN NG LUNGSOD NG PASAY,0,10,0
31/12/2002,2,DE LA SALLE - COLLEGE OF ST. BENILDE,0,96,4
31/12/2009,6,SAINT JOSEPH INSTITUTE OF TECHNOLOGY,1,5,4
31/12/1992,16,SAN SEBASTIAN COLLEGE,1,6,8
31/12/2009,4,MINDANAO STATE UNIVERSITY,0,20,4
31/12/2014,10,UNIVERSITY OF SAINT ANTHONY,0,0,9
31/12/2009,4,UNIVERSITY OF SAN JOSE RECOLLETOS,0,20,4
31/12/2008,16,CEBU NORMAL UNIVERSITY,0,0,4
31/12/1995,16,ADAMSON UNIVERSITY,1,76,8
31/12/2012,16,"DAVAO MEDICAL SCHOOL FOUNDATION, INC.",0,10,5
31/12/2013,16,CEBU NORMAL UNIVERSITY,0,0,5
31/12/1999,16,DLSU - COLLEGE OF SAINT BENILDE,0,82,16
31/12/2000,16,PALAWAN STATE UNIVERSITY,0,58,16
31/12/2012,4,ATENEO DE MANILA UNIVERSITY,1,9,4
31/12/2002,16,UNIVERSITY OF THE PHILIPPINES MANILA-SCHOOL OF HEALTH SCIENCES,0,3,7
31/12/2007,4,BULACAN STATE UNIVERSITY,1,1,4
31/12/2009,16,ATENEO DE MANILA UNIVERSITY,0,20,11
31/12/1975,0,UNIVERSITY OF THE EAST,0,5,0
31/12/2011,16,ASIAN INSTITUTE OF MANAGEMENT,0,324,14
31/12/2001,0,ATENEO DE DAVAO UNIVERSITY,0,5,16
31/12/2009,16,SAINT LOUIS UNIVERSITY (PH),1,42,16
31/12/2002,12,UNIVERSITY OF THE PHILIPPINES,0,47,16
31/12/2010,16,UNIVERSITY OF THE PHILIPPINES,0,66,0
31/12/1994,16,ZAMBOANGA STATE COLLEGE OF MARINE SCIENCES AND TECHNOLOGY,1,0,16
31/12/2011,10,ENTREPRENEURS SCHOOL OF ASIA,0,500+,10
31/12/1992,16,POLYTECHNIC UNIVERSITY OF THE PHILIPPINES,0,44,16
31/12/2008,6,THE UNIVERSITY OF MINDANAO,0,7,16
31/12/1990,4,DE LA SALLE UNIVERSITY,0,92,15
31/12/2005,4,PHILIPPINE SCHOOL OF BUSINESS ADMINISTRATION,0,139,0
31/12/2011,16,PUBLIC,0,0,8
31/12/2011,16,SOUTHWESTERN UNIVERSITY (PH),0,8,1
31/12/1997,16,UNIVERSITY OF THE PHILIPPINES,1,32,1
31/12/1995,6,UNIVERSITY OF PERPETUAL HELP SYSTEM DALTA,0,10,3
31/12/1996,16,DE LA SALLE UNIVERSITY,0,52,16
31/12/2012,16,"COLUMBAN COLLEGE, INC.",1,0,13
31/12/2008,16,RAMON MAGSAYSAY TECHNOLOGICAL UNIVERSITY,0,1,16
31/12/2010,7,SAINT MARY'S UNIVERSITY,0,0,7
31/12/2005,4,DE LA SALLE UNIVERSITY,0,82,4
31/12/1991,16,AUTOMATION COMPUTER CENTRE,0,26,2
31/12/2010,10,SEOUL NATIONAL UNIVERSITY,0,126,10
31/12/1995,6,DE LA SALLE UNIVERSITY,0,60,16
31/12/2000,16,UNIVERSITY OF THE PHILIPPINES,0,382,16
31/12/2003,1,SAN SEBASTIAN RECOLETOS,0,8,16
31/12/2007,16,MAPUA INSTITUTE OF TECHNOLOGY,1,0,4
31/12/2009,4,MAPUA INSTITUTE OF TECHNOLOGY,0,95,4
31/12/2003,6,UNIVERSITY OF SANTO TOMAS,0,6,6
31/12/2008,16,ATENEO GRADUATE SCHOOL OF BUSINESS,0,118,0
31/12/2013,0,ASSUMPTION COLLEGE SAN LORENZO MAKATI,1,3,2
31/12/2001,2,"ASSUMPTION COLLEGE, MAKATI",0,7,3
31/12/1977,16,UNIVERSITY OF THE PHILIPPINES,0,62,16
31/12/2009,8,UNIVERSITY OF SOUTHERN MINDANAO,1,39,8
31/12/2004,16,UNIVERSITY OF ILOILO,0,62,16
31/12/2008,14,UNIVERSITY OF SAN CARLOS,0,104,14
31/12/1980,16,POLYTECHNIC UNIVERSITY OF THE PHILIPPINES,1,0,14
31/12/2004,2,UNIVERSITY OF SANTO TOMAS,0,89,10
31/12/2008,2,UNIVERSITY OF SANTO TOMAS,0,51,10
31/12/2011,0,ASSUMPTION COLLEGE,0,135,15
31/12/2005,14,UNIVERSITY OF THE EAST,0,18,1
31/12/1989,16,PAMANTASAN NG LUNGSOD NG MAYNILA,0,500+,3
31/12/2009,16,CEBU SCIENCE OF WELDING AND TECHNOLOGY INC.,0,1,16
31/12/1971,1,MIRIAM COLLEGE,0,17,15
31/12/2005,4,POLYTECHNIC UNIVERSITY OF THE PHILIPPINES,0,4,16
31/12/1983,0,POLYTECHNIC UNIVERSITY OF THE PHILIPPINES,0,3,0
31/12/2013,16,ASIAN DEVELOPMENT FOUNDATION COLLEGE,1,20,4
31/12/2010,1,SAN BEDA COLLEGE,0,172,4
31/12/2006,16,PAMANTASAN NG LUNGSOD NG MAYNILA,0,109,3
31/12/2000,16,ASIAN INSTITUTE OF MANAGEMENT,0,12,10
31/12/2009,4,MINDANAO STATE UNIVERSITY,1,5,5
31/12/2011,0,UNIVERSITY OF THE PHILIPPINES,0,68,0
31/12/2007,16,LA SALLE GREEN HILLS,0,174,4
31/12/2014,16,DE LA SALLE - COLLEGE OF SAINT BENILDE,0,17,4
31/12/2010,16,UNIVERSITY OF CEBU,0,2,7
31/12/1978,16,FEATI UNIVERSITY,0,4,9
31/12/2003,16,UNIVERSITY OF SAN CARLOS,0,204,16
31/12/2009,4,DE LA SALLE UNIVERSITY - DASMARINAS,0,105,4
31/12/2008,10,CEBU INSTITUTE OF TECHNOLOGY,0,29,3
31/12/1983,16,UNIVERSITY OF MANILA,0,19,8
31/12/1989,16,MERALCO FOUNDATION INSTITUTE,0,2,16
31/12/2015,16,ATENEO DE MANILA UNIVERSITY,0,295,5
31/12/2012,5,UP OPEN UNIVERSITY,0,19,5
31/12/1974,16,UNIVERSITY OF THE PHILIPPINES,0,4,5
31/12/1998,4,ADAMSON UNIVERSITY,0,68,16
31/12/2010,16,XAVIER UNIVERSITY - ATENEO DE CAGAYAN,0,3,16
31/12/2011,16,UNIVERSITY OF THE PHILIPPINES,0,33,16
31/12/2012,0,UNIVERSITY OF SANTO TOMAS,0,1,0
31/12/2002,4,COLUMBAN COLLEGE - OLONGAPO CITY,0,1,6
31/12/2002,8,DLSU - COLLEGE OF SAINT BENILDE,0,116,16
31/12/1987,6,BICOL UNIVERSITY/MAPUA INSTITUTE OF TECHNOLOGY,0,20,3
31/12/2004,1,UNIVERSITY OF STO. TOMAS,0,85,16
31/12/2005,16,PHILIPPINE INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS,0,2,0
31/12/2006,1,POLYTHECNIC UNIVERSITY OF THE PHILIPPINES,0,12,4
31/12/1993,6,FAR EASTERN UNIVERSITY,1,1,6
31/12/2006,4,JOSE RIZAL UNIVERSITY,0,10,4
31/12/2005,16,SAINT LOUIS ANNE COLLEGES,0,8,16
31/12/1999,2,UNIVERSITY OF THE EAST,0,7,16
31/12/1982,16,PHILIPPINE CHRISTIAN UNIVERSITY,0,19,14
31/12/2007,10,NEW ERA UNIVERSITY (2003),0,168,8
31/12/1996,16,"LYCEUM OF THE PHILIPPINES,INTRAMUROS MANILA",0,2,16
31/12/2007,4,MINDANAO STATE UNIVERSITY,0,38,4
31/12/2005,4,POLYTECHNIC UNIVERSITY OF THE PHILIPPINES,0,10,4
31/12/1996,4,ADAMSON UNIVERSITY,1,5,5
31/12/1996,16,UNIVERSITY OF SOUTHEASTERN PHILIPPINES,0,3,16
31/12/2009,4,PAMANTASAN NG LUNGSOD NG PASIG,0,19,0
31/12/2009,4,UNIVERSITY OF CEBU,0,47,16
31/12/2002,5,UNIVERSITY OF SANTO TOMAS,0,5,4
31/12/2005,16,PHILIPPINE SCHOOL OF BUSINESS ADMINISTRATION,0,135,16
31/12/1998,16,B.S MARINE TRANSPORTATION,0,1,16
31/12/1981,0,COLEGIO DELA PURISIMA CONCEPCION,1,1,0
31/12/2013,16,DE LA SALLE UNIVERSITY,0,500+,0
31/12/1977,0,TRINITY COLLEGE OF QC,0,1,8
31/12/2011,16,ATENEO DE DAVAO UNIVERSITY,1,10,16
31/12/1994,16,PATTS COLLEGE OF AERONAUTICS,0,224,16
31/12/1971,0,CENTRAL COLLEGES OF THE PHILIPPINES,0,72,16
31/12/2010,4,ASIAN INSTITUTE OF COMPUTER STUDIES,0,1,16
31/12/2000,6,UNIVERSITY OF SAN JOSE RECOLETOS,0,28,16
31/12/1997,16,CEBU INSTITUTE OF TECHNOLOGY,0,31,9
31/12/2011,4,ATENEO DE DAVAO UNIVERSITY,0,3,4
31/12/2010,16,MARIAN COLLEGE - IPIL,0,5,4
31/12/2004,16,PALAWAN STATE UNIVERSITY,0,69,16
31/12/1992,16,ATENEO DE MANILA UNIVERSITY,0,35,8
31/12/1999,0,UNIVERSITY OF SAN CARLOS,0,3,15
31/12/1987,16,BICOL UNIVERSITY,1,1,1
31/12/2007,16,UNIVERSITY OF THE PHILIPPINES,0,145,16
31/12/2011,1,NATIONAL DEFENSE COLLEGE OF THE PHILIPPINES,0,500+,16
31/12/2010,16,UNIVERSITY OF SAN JOSE - RECOLETOS,0,268,0
31/12/2010,16,UNIVERSITY OF SANTO TOMAS,1,140,4
31/12/2009,0,UNIVERSITY OF SAINT LOUIS TUGUEGARAO,0,2,16
31/12/2005,16,BAYAMBANG NATIONAL HIGH SCHOOL,0,0,8
31/12/1991,16,"SECONDARY HOPE CHRISTIAN HIGH SCHOOL BENAVIDEZ ST., MANILA",0,18,16
31/12/1987,16,SAINT LOUIS UNIVERSITY (PH),0,320,4
31/12/2001,16,ANDRES BONIFACIO COLLEGE,1,0,5
31/12/2008,16,UNIVERSITY OF THE PHILIPPINES,0,47,1
31/12/1986,0,LYCEUM OF THE PHILIPPINES,1,13,16
31/12/2012,5,UNIVERSITY OF THE PHILIPPINES - DILIMAN,0,194,5
31/12/2009,16,UNIVERSITY OF BAGUIO,0,2,16
31/12/2003,4,INFOTECH INSTITUTE OF ARTS AND SCIENCES,0,0,2
31/12/2010,16,INSTITUTE OF CREATIVE COMPUTER TECHNOLOGY,0,1,4
31/12/2001,6,DE LA SALLE UNIVERSITY,0,59,4
31/12/1993,16,SAINT LOUIS UNIVERSITY,0,21,5
31/12/1999,16,UNIVERSITY OF THE PHILIPPINES,0,11,4
31/12/1999,4,STI E-COLLEGE SOUTHWOODS,0,2,8
31/12/2011,1,PAMANTASAN NG LUNGSOD NG MAYNILA,1,10,16
31/12/2005,16,NORTHERN COLLEGES,0,5,10
31/12/2011,16,DE LA SALLE UNIVERSITY,0,39,6
31/12/2005,16,UNIVERSITY OF SANTO TOMAS,0,94,16
31/12/2011,0,UNIVERSITY OF THE PHILIPPINES,1,58,16
31/12/2002,16,CIT,0,1,16
31/12/2007,16,FAR EASTERN UNIVERSITY,1,1,16
31/12/2011,16,MAPUA INSTITUTE OF TECHNOLOGY,0,0,4
31/12/2007,16,ATENEO DE MANILA UNIVERSITY,0,69,11
31/12/2003,6,NEW ERA UNIVERSITY,0,5,9
31/12/2007,5,UNIVERSITY OF PANGASINAN,1,3,16
31/12/1998,4,COMPUTRONIX COLLEGE,0,149,4
31/12/2005,16,THE NATIONAL TEACHERS COLLEGE,1,0,5
31/12/1991,16,SAMAR STATE UNIVERSITY,1,0,7
31/12/2001,16,PANGASINAN STATE UNIVERSITY,0,12,6
31/12/2004,16,PESA,0,246,4
31/12/2008,6,MAPUA INSTITUTE OF TECHNOLOGY,0,33,16
31/12/2005,4,MINDANAO POLYTECHNIC STATE COLLEGE,0,98,4
31/12/2008,6,CENTRAL PHILIPPINE UNIVERSITY,0,13,4
31/12/2009,4,COMPUTRONIX,0,92,4
31/12/2007,16,CAGAYAN STATE UNIVERSITY,0,1,14
31/12/1991,10,POLYTECHNIC UNIVERSITY OF THE PHILIPPINES,0,8,8
31/12/2014,16,MINDANAO STATE UNIVERSITY,0,36,12
31/12/2007,16,XAVIER UNIVERSITY (PH),0,0,16
31/12/2008,0,PHILIPPINE SCHOOL OF BUSINESS ADMINISTRATION,1,1,0
31/12/2012,1,UNIVERSITY OF SANTO TOMAS,0,3,10
31/12/2009,16,PHOENIX ONE KNOWLEDGE INSTITUTE,0,96,4
31/12/2006,6,UNIVERSITY OF SAINT LOUIS,0,200,4
31/12/2014,4,STI COLLEGE,1,0,4
31/12/2008,4,MAPUA INSTITUTE OF TECHNOLOGY,0,1,4
31/12/2010,5,DE LA SALLE UNIVERSITY,0,203,1
31/12/1996,5,BICOL UNIVERSITY,0,0,16
31/12/2009,0,LYCEUM OF THE PHILIPPINES UNIVERSITY-BATANGAS CITY,0,12,16
